@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.779554,0.282784,0.010986
adder-10-unsat-shuffled,1,0.377808,761.5,0.854527,0.170238,0.001096
adder-12-sat-shuffled,1,1.053268,861,0.790835,0.264487,0.009067
adder-12-unsat-shuffled,1,0.377757,1100,0.867327,0.152968,0.000754
adder-14-sat-shuffled,1,1.053205,1179.5,0.800826,0.248711,0.007719
adder-14-unsat-shuffled,1,0.377683,1500.5,0.877979,0.138979,0.00055
adder-16-unsat-shuffled,1,0.377608,1963,0.887007,0.127387,0.000419
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.556811,0.79594,0.726821
Adder2-4-s-shuffled,1,0.214947,361.666667,0.556623,0.796548,0.72669
Adder2-6-c-shuffled,1,0.144914,651.5,0.556468,0.797047,0.726373
Adder2-6-s-shuffled,1,0.216597,856.666667,0.55674,0.79617,0.726783
adder-4-sat-shuffled,1,1.049057,87,0.729904,0.370044,0.030189
adder-6-sat-shuffled,1,1.052423,205.5,0.75084,0.331842,0.019063
adder-8-sat-shuffled,1,1.053136,374,0.766531,0.30458,0.013937
adder-8-unsat-shuffled,1,0.377768,485,0.838756,0.192241,0.001737
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.594819,0.681185,0.530691
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.598672,0.670363,0.506767
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.595453,0.679395,0.52492
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.598456,0.670968,0.50601
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.599193,0.668912,0.504317
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.599539,0.667948,0.498561
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.599473,0.668132,0.501645
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.599505,0.668043,0.500412
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.598505,0.670829,0.503351
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.598265,0.6715,0.509308
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.59894,0.669618,0.504505
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.599278,0.668675,0.505586
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.599452,0.668191,0.50018
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.590909,0.692308,0.549145
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.598311,0.671371,0.501502
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.59071,0.692878,0.537473
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.593878,0.683849,0.515075
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.59051,0.693452,0.555794
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.594142,0.683099,0.525773
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.597813,0.672764,0.501511
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.599226,0.668821,0.510843
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.594915,0.680912,0.541841
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.598456,0.670968,0.504808
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.59919,0.668919,0.505051
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.599078,0.669231,0.50431
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.59897,0.669533,0.513622
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.599735,0.667402,0.500413
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.571392,0.750112,0.520317
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.571415,0.750041,0.508913
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.588151,0.700244,0.581874
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.573816,0.74272,0.515498
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.577547,0.731461,0.564706
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.57431,0.74122,0.5274
