SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,ebglucose,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,ebminisat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,glucose2,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,glueminisat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,lingeling,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,lrglshr,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,minisatpsm,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,mphaseSAT64,127.86,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,precosat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,qutersat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,rcl,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,restartsat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,cryptominisat2011,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,spear-sw,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,spear-hw,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,eagleup,6.97,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,sparrow,1.76,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,marchrw,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,mphaseSATm,210.65,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,satime11,97.93,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,tnm,48.06,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,mxc09,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,gnoveltyp2,282.15,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,sattime,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,sattimep,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,clasp2,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,clasp1,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,picosat,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,mphaseSAT,211.54,ok
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,sapperlot,1200,timeout
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,sol,1200,timeout
